epoch,total_loss,running_cost,terminal_cost,alpha_terminal,min_barrier_value,gradient_norm
1,10971.240777477466,9.630954066737216,54.80804911705364,200.0,3.5607546710591387,87556.80133203325
2,10804.241179597275,9.472293791377874,53.973844429029484,200.0,3.5739496772985024,86654.99200497384
3,10896.694627557288,9.767847089594687,54.43463390233847,200.0,3.104389499468811,88313.61998789485
4,10733.97126777127,9.609560668667957,53.62180853551301,200.0,2.990394863876307,87493.04474412832
5,10991.071253123411,10.075611738648329,54.904978206923815,200.0,2.9657209020711233,88056.68074707994
6,10623.709595553843,9.743388714448114,53.069831034196966,200.0,3.017017842344728,86292.8042669006
7,10825.524959152326,9.911420896869505,54.07806769127728,200.0,3.265246819843075,88262.21946670802
8,10672.192244715998,9.671828220196529,53.312602082479,200.0,2.984382250953127,86553.13811420335
9,10774.870320282564,9.82522538293624,53.82522547449814,200.0,2.8242288511669047,86949.5347999842
10,10545.62891687586,9.652131128212782,52.679883928738235,200.0,3.010660460107324,85741.353243116
11,11781.25601619582,11.041162840158865,58.85107426677831,200.0,2.9432948362723335,90423.34904453717
12,10964.895141893849,10.157351885697654,54.77368895004075,200.0,3.1170528936060786,88579.10730856669
13,10746.684704040908,10.00150973683417,53.683415971520375,200.0,3.001600263971405,87180.08691559029
14,11580.616178760341,10.93498397234808,57.848405973939975,200.0,2.9208576973551494,90618.50086695956
15,10370.472816372896,9.731610769726242,51.80370602801585,200.0,2.8757439412231,85106.46554630606
16,12402.647484595424,11.959248798524994,61.9534411789845,200.0,3.734705153192667,95826.31209508865
17,10689.779278512231,10.20446711178193,53.39787405700224,200.0,2.6530712072705134,87442.69654038326
18,10873.91493517292,10.43930231745986,54.317378164277294,200.0,3.3789493994295716,88447.11503760848
19,10860.327867396647,10.519324206464663,54.24904271595091,200.0,3.4362727383645217,88805.80192291754
20,9945.11999126824,9.689250145299853,49.6771537056147,200.0,3.0516529994099466,82834.45248007517
21,9414.106166407599,9.148394337901259,47.02478886034849,200.0,3.311558912735111,80737.2344279788
22,9815.791118289528,9.678147744502365,49.03056485272513,200.0,3.136174133539551,81220.19347280651
23,11279.50708733953,11.336285008534652,56.34085401165498,200.0,3.177293259760227,86608.54736001608
24,9389.70150357128,9.388933190271011,46.90156285190505,200.0,1.9080052790887128,79486.31328410319
25,8785.410117049443,8.848174089962603,43.8828097147974,200.0,1.8676395417680491,75969.14960312254
26,11733.502812194172,12.042580587597472,58.60730115803288,200.0,2.3339244778982695,89083.32857112696
27,9200.408464825501,9.38730624328297,45.95510579291109,200.0,1.8294147611292924,80300.53860458088
28,10302.474531110669,10.667738029072938,51.45903396540798,200.0,1.828690406235486,83005.4096595946
29,8515.655147766234,8.866830197295613,42.533941587844694,200.0,1.645633202858101,76294.8662400396
30,10063.10238196617,10.573033076634442,50.26264674444768,200.0,1.6940959351530618,81840.15275681096
31,9527.974181678404,10.097377442751421,47.58938402117827,200.0,1.5181539793657381,79613.35955691733
32,8367.089458602948,9.033409449271417,41.79028024576838,200.0,1.4478637323084376,74030.26892576327
